,Country,Mental Health,Country Code,Total Pop,Companies,primarySE,secondarySE,tertiarySE,GDP,Young,No,Country or Area,M49 Code,Region 1,Region 2,Continent,MH size,School Enrollment,Schools,Universities
10,Barbados,63.332,BRB,287025.0,5838.0,119.454086303711,108.539001464844,75.6962432861328,18480.0565925601,0.17050431147112602,20,Barbados,52,Caribbean,Latin America and the Caribbean,North America,182.0,1.139965438842775,93.0,5.0
11,Belarus,19.018,BLR,9466856.0,68660.0,114.999313354492,111.925590515137,93.5432815551758,6837.71782606351,0.17036320151546502,21,Belarus,112,Eastern Europe,,Europe,1800.0,1.134624519348145,3050.0,189.0
12,Belgium,173.646,BEL,11484055.0,217595.0,108.42098236084,163.934722900391,80.1381683349609,46599.1113350938,0.170582030426729,22,Belgium,56,Western Europe,,Europe,19942.0,1.3617785263061548,4446.0,196.0
13,Belize,5.844999999999999,BLZ,390353.0,6675.0,123.12451171875,87.006103515625,25.6001205444336,4983.33611435869,0.29704395764859,23,Belize,84,Central America,Latin America and the Caribbean,North America,23.0,1.050653076171875,203.0,4.0
14,Bhutan,0.635,BTN,763092.0,347.0,111.901031494141,90.0946807861328,16.4473304748535,3322.86332883678,0.25340194891310597,26,Bhutan,64,Southern Asia,,Asia,5.0,1.009978561401369,325.0,4.0
15,Bolivia (Plurinational State of),1.128,BOL,11513100.0,3593.0,118.302177429199,91.426399230957,0.0,3552.06814383653,0.306252616584586,27,Bolivia (Plurinational State of),68,South America,Latin America and the Caribbean,South America,130.0,1.0486428833007801,6162.0,0.0
16,Bosnia and Herzegovina,32.297,BIH,3301000.0,12516.0,0.0,0.0,50.7825698852539,6119.76235142981,0.146937594668282,29,Bosnia and Herzegovina,70,Southern Europe,,Europe,1066.0,0.0,0.0,31.0
17,Brazil,57.089,BRA,211049527.0,2541461.0,165.645385742188,109.994216918945,55.1362991333008,8876.05983587779,0.21009193732995202,32,Brazil,76,South America,Latin America and the Caribbean,South America,120486.0,1.3781980133056653,101848.0,3056.0
18,Brunei Darussalam,21.553,BRN,433285.0,5335.0,133.828155517578,106.264831542969,33.5649604797363,31085.9619255901,0.22616522612137502,35,Brunei Darussalam,96,South-eastern Asia,,Asia,93.0,1.200464935302735,196.0,4.0
19,Bulgaria,27.586000000000002,BGR,6975761.0,74589.0,109.688926696777,104.148780822754,73.3791732788086,9879.26853313318,0.146853789199869,36,Bulgaria,100,Eastern Europe,,Europe,1924.0,1.069188537597655,1825.0,94.0
20,Burkina Faso,0.7070000000000001,BFA,20321378.0,6356.0,96.0903701782227,41.3111000061035,7.84372997283936,796.115206827676,0.44677821553243097,37,Burkina Faso,854,Western Africa,Sub-Saharan Africa,Africa,144.0,0.687007350921631,10396.0,89.0
21,Burundi,0.618,BDI,11530580.0,0.0,140.828903198242,49.2544288635254,5.13303995132446,223.862875707709,0.454006476690678,38,Burundi,108,Eastern Africa,Sub-Saharan Africa,Africa,71.0,0.9504166603088369,8292.0,34.0
22,Cambodia,7.753,KHM,16486542.0,46744.0,140.931015014648,54.8304100036621,14.8900699615479,1643.12138876539,0.310991959381173,40,Cambodia,116,South-eastern Asia,,Asia,1278.0,0.9788071250915507,8364.0,95.0
23,Canada,277.478,CAN,37589262.0,6314.0,105.224739074707,114.333267211914,97.6102066040039,46328.6718408497,0.158458997418597,42,Canada,124,Northern America,,North America,104302.0,1.097790031433105,10898.0,727.0
24,Central African Republic,0.066,CAF,4745185.0,1990.0,102.018898010254,17.6245307922363,3.13707995414734,468.117514792315,0.439200157633475,44,Central African Republic,140,Middle Africa,Sub-Saharan Africa,Africa,3.0,0.5982171440124515,2078.0,8.0
25,Chad,0.035,TCD,15946876.0,5764.0,101.584831237793,24.6756496429443,3.43384003639221,709.54004317463,0.468209447417789,45,Chad,148,Middle Africa,Sub-Saharan Africa,Africa,6.0,0.6313024044036866,7856.0,32.0
